year,party,state,date,type
2004,D,CO,2004-04-13,caucus
2004,D,NC,2004-04-17,caucus
2004,D,PA,2004-04-27,primary
2004,D,IN,2004-05-04,primary
2004,D,NE,2004-05-11,primary
2004,D,WV,2004-05-11,primary
2004,D,AR,2004-05-18,primary
2004,D,OR,2004-05-18,primary
2004,D,ID,2004-05-25,primary
2004,D,KY,2004-05-25,primary
2004,D,AL,2004-06-01,primary
2004,D,SD,2004-06-01,primary
2004,D,PR,2004-06-06,caucus
2004,D,MT,2004-06-08,primary
2004,D,NJ,2004-06-08,primary
2008,D,IA,2008-01-03,caucus
2008,D,NH,2008-01-08,primary
2008,D,MI,2008-01-15,primary
2008,D,NV,2008-01-19,caucus
2008,D,SC,2008-01-26,primary
2008,D,FL,2008-01-29,primary
2008,D,AL,2008-02-05,primary
2008,D,AK,2008-02-05,caucus
2008,D,AZ,2008-02-05,primary
2008,D,AR,2008-02-05,primary
2008,D,CA,2008-02-05,primary
2008,D,CO,2008-02-05,caucus
2008,D,CT,2008-02-05,primary
2008,D,DE,2008-02-05,primary
2008,D,GA,2008-02-05,primary
2008,D,ID,2008-02-05,caucus
2008,D,IL,2008-02-05,primary
2008,D,KS,2008-02-05,caucus
2008,D,MA,2008-02-05,primary
2008,D,MN,2008-02-05,caucus
2008,D,MO,2008-02-05,primary
2008,D,NJ,2008-02-05,primary
2008,D,NM,2008-02-05,primary
2008,D,NY,2008-02-05,primary
2008,D,ND,2008-02-05,caucus
2008,D,OK,2008-02-05,primary
2008,D,TN,2008-02-05,primary
2008,D,UT,2008-02-05,primary
2008,D,AS,2008-02-05,caucus
2008,D,LA,2008-02-09,primary
2008,D,NE,2008-02-09,caucus
2008,D,WA,2008-02-09,caucus
2008,D,VI,2008-02-09,caucus
2008,D,ME,2008-02-10,caucus
2008,D,DC,2008-02-12,primary
2008,D,MD,2008-02-12,primary
2008,D,VA,2008-02-12,primary
2008,D,HI,2008-02-19,caucus
2008,D,WI,2008-02-19,primary
2008,D,OH,2008-03-04,primary
2008,D,RI,2008-03-04,primary
2008,D,TX,2008-03-04,primary
2008,D,VT,2008-03-04,primary
2008,D,WY,2008-03-08,caucus
2008,D,MS,2008-03-11,primary
2008,D,PA,2008-04-22,primary
2008,D,GU,2008-05-03,caucus
2008,D,IN,2008-05-06,primary
2008,D,NC,2008-05-06,primary
2008,D,NE,2008-05-13,primary
2008,D,WV,2008-05-13,primary
2008,D,KY,2008-05-20,primary
2008,D,OR,2008-05-20,primary
2008,D,ID,2008-05-27,primary
2008,D,PR,2008-06-01,primary
2008,D,MT,2008-06-03,primary
2008,D,SD,2008-06-03,primary
2008,R,IA,2008-01-03,caucus
2008,R,WY,2008-01-05,caucus
2008,R,NH,2008-01-08,primary
2008,R,MI,2008-01-15,primary
2008,R,NV,2008-01-19,caucus
2008,R,SC,2008-01-19,primary
2008,R,HI,2008-01-25,caucus
2008,R,FL,2008-01-29,primary
2008,R,ME,2008-02-01,caucus
2008,R,AL,2008-02-05,primary
2008,R,AK,2008-02-05,caucus
2008,R,AZ,2008-02-05,primary
2008,R,AR,2008-02-05,primary
2008,R,CA,2008-02-05,primary
2008,R,CO,2008-02-05,caucus
2008,R,CT,2008-02-05,primary
2008,R,DE,2008-02-05,primary
2008,R,GA,2008-02-05,primary
2008,R,IL,2008-02-05,primary
2008,R,MA,2008-02-05,primary
2008,R,MN,2008-02-05,caucus
2008,R,MO,2008-02-05,primary
2008,R,MT,2008-02-05,caucus
2008,R,NJ,2008-02-05,primary
2008,R,NY,2008-02-05,primary
2008,R,ND,2008-02-05,caucus
2008,R,OK,2008-02-05,primary
2008,R,TN,2008-02-05,primary
2008,R,UT,2008-02-05,primary
2008,R,KS,2008-02-09,caucus
2008,R,LA,2008-02-09,primary
2008,R,DC,2008-02-12,primary
2008,R,MD,2008-02-12,primary
2008,R,VA,2008-02-12,primary
2008,R,WA,2008-02-19,primary
2008,R,WI,2008-02-19,primary
2008,R,PR,2008-02-24,primary
2008,R,OH,2008-03-04,primary
2008,R,RI,2008-03-04,primary
2008,R,TX,2008-03-04,primary
2008,R,VT,2008-03-04,primary
2008,R,MS,2008-03-11,primary
2008,R,PA,2008-04-22,primary
2008,R,IN,2008-05-06,primary
2008,R,NC,2008-05-06,primary
